x1,prediction,instance
-1.664496319656127,-1.6426809,4740
-1.6313719506288125,-1.6135828,4740
-1.5982475816014976,-1.5831611,4740
-1.565123212574183,-1.5524442,4740
-1.5319988435468683,-1.5217273,4740
-1.4988744745195537,-1.4910104,4740
-1.4657501054922388,-1.4602935,4740
-1.4326257364649242,-1.4295769,4740
-1.3995013674376096,-1.3988597,4740
-1.3663769984102947,-1.3685641,4740
-1.33325262938298,-1.3380663,4740
-1.3001282603556654,-1.3064585,4740
-1.2670038913283506,-1.272908,4740
-1.233879522301036,-1.2391145,4740
-1.2007551532737213,-1.2046337,4740
-1.1676307842464066,-1.1701529,4740
-1.134506415219092,-1.1356721,4740
-1.1013820461917772,-1.1011913,4740
-1.0682576771644625,-1.0667105,4740
-1.0351333081371479,-1.0336549,4740
-1.002008939109833,-0.9994405,4740
-0.9688845700825184,-0.9650144,4740
-0.9357602010552037,-0.93058807,4740
-0.902635832027889,-0.89616174,4740
-0.8695114630005742,-0.8617355,4740
-0.8363870939732596,-0.8273093,4740
-0.8032627249459449,-0.792883,4740
-0.7701383559186302,-0.7585564,4740
-0.7370139868913155,-0.7265691,4740
-0.7038896178640008,-0.6947127,4740
-0.6707652488366861,-0.6633639,4740
-0.6376408798093713,-0.63222176,4740
-0.6045165107820567,-0.6011907,4740
-0.5713921417547421,-0.5709447,4740
-0.5382677727274272,-0.54020584,4740
-0.5051434037001126,-0.5069738,4740
-0.47201903467279793,-0.4731676,4740
-0.4388946656454833,-0.4394527,4740
-0.40577029661816844,-0.40849274,4740
-0.3726459275908538,-0.37580955,4740
-0.33952155856353916,-0.34246278,4740
-0.3063971895362243,-0.30833808,4740
-0.27327282050890966,-0.2756786,4740
-0.24014845148159503,-0.24308819,4740
-0.2070240824542804,-0.21063504,4740
-0.17389971342696553,-0.17818177,4740
-0.1407753443996509,-0.14572853,4740
-0.10765097537233626,-0.11327529,4740
-0.0745266063450214,-0.08002497,4740
-0.04140223731770676,-0.045067668,4740
-0.00827786829039212,-0.010110259,4740
0.024846500736922517,0.024847046,4740
0.057970869764237376,0.05980435,4740
0.09109523879155201,0.09476179,4740
0.12421960781886665,0.12963471,4740
0.1573439768461813,0.16571963,4740
0.19046834587349615,0.20248139,4740
0.22359271490081079,0.23513623,4740
0.2567170839281254,0.26450506,4740
0.2898414529554403,0.29542696,4740
0.3229658219827549,0.32634878,4740
0.35609019101006956,0.35727063,4740
0.3892145600373844,0.3882761,4740
0.42233892906469883,0.4201071,4740
0.4554632980920137,0.45193815,4740
0.48858766711932855,0.48476982,4740
0.521712036146643,0.5200358,4740
0.5548364051739578,0.55455524,4740
0.5879607742012727,0.589075,4740
0.6210851432285871,0.62359464,4740
0.654209512255902,0.65671426,4740
0.6873338812832164,0.68939686,4740
0.7204582503105312,0.7213652,4740
0.7535826193378461,0.7532347,4740
0.7867069883651605,0.7861766,4740
0.8198313573924754,0.81867,4740
0.8529557264197902,0.8511299,4740
0.8860800954471046,0.88542515,4740
0.9192044644744195,0.9197206,4740
0.9523288335017344,0.9533785,4740
0.9854532025290488,0.98737377,4740
1.0185775715563636,1.0205073,4740
1.0517019405836785,1.053405,4740
1.084826309610993,1.0865686,4740
1.1179506786383078,1.1207104,4740
1.1510750476656222,1.1543605,4740
1.184199416692937,1.1880109,4740
1.217323785720252,1.2208474,4740
1.2504481547475663,1.2528534,4740
1.2835725237748812,1.2861755,4740
1.316696892802196,1.3197031,4740
1.3498212618295105,1.352572,4740
1.3829456308568253,1.3845167,4740
1.4160699998841402,1.4179258,4740
1.4491943689114546,1.4521143,4740
1.4823187379387694,1.4863033,4740
1.5154431069660843,1.5204918,4740
1.5485674759933987,1.5541961,4740
1.5816918450207136,1.5877106,4740
1.6148162140480282,1.6212256,4740
-1.664496319656127,-1.6426809,5606
-1.6313719506288125,-1.6135828,5606
-1.5982475816014976,-1.5831611,5606
-1.565123212574183,-1.5524442,5606
-1.5319988435468683,-1.5217273,5606
-1.4988744745195537,-1.4910104,5606
-1.4657501054922388,-1.4602935,5606
-1.4326257364649242,-1.4295769,5606
-1.3995013674376096,-1.3988597,5606
-1.3663769984102947,-1.3685641,5606
-1.33325262938298,-1.3380663,5606
-1.3001282603556654,-1.3064585,5606
-1.2670038913283506,-1.272908,5606
-1.233879522301036,-1.2391145,5606
-1.2007551532737213,-1.2046337,5606
-1.1676307842464066,-1.1701529,5606
-1.134506415219092,-1.1356721,5606
-1.1013820461917772,-1.1011913,5606
-1.0682576771644625,-1.0667105,5606
-1.0351333081371479,-1.0336549,5606
-1.002008939109833,-0.9994405,5606
-0.9688845700825184,-0.9650144,5606
-0.9357602010552037,-0.93058807,5606
-0.902635832027889,-0.89616174,5606
-0.8695114630005742,-0.8617355,5606
-0.8363870939732596,-0.8273093,5606
-0.8032627249459449,-0.792883,5606
-0.7701383559186302,-0.7585564,5606
-0.7370139868913155,-0.7265691,5606
-0.7038896178640008,-0.6947127,5606
-0.6707652488366861,-0.6633639,5606
-0.6376408798093713,-0.63222176,5606
-0.6045165107820567,-0.6011907,5606
-0.5713921417547421,-0.5709447,5606
-0.5382677727274272,-0.54020584,5606
-0.5051434037001126,-0.5069738,5606
-0.47201903467279793,-0.4731676,5606
-0.4388946656454833,-0.4394527,5606
-0.40577029661816844,-0.40849274,5606
-0.3726459275908538,-0.37580955,5606
-0.33952155856353916,-0.34246278,5606
-0.3063971895362243,-0.30833808,5606
-0.27327282050890966,-0.2756786,5606
-0.24014845148159503,-0.24308819,5606
-0.2070240824542804,-0.21063504,5606
-0.17389971342696553,-0.17818177,5606
-0.1407753443996509,-0.14572853,5606
-0.10765097537233626,-0.11327529,5606
-0.0745266063450214,-0.08002497,5606
-0.04140223731770676,-0.045067668,5606
-0.00827786829039212,-0.010110259,5606
0.024846500736922517,0.024847046,5606
0.057970869764237376,0.05980435,5606
0.09109523879155201,0.09476179,5606
0.12421960781886665,0.12963471,5606
0.1573439768461813,0.16571963,5606
0.19046834587349615,0.20248139,5606
0.22359271490081079,0.23513623,5606
0.2567170839281254,0.26450506,5606
0.2898414529554403,0.29542696,5606
0.3229658219827549,0.32634878,5606
0.35609019101006956,0.35727063,5606
0.3892145600373844,0.3882761,5606
0.42233892906469883,0.4201071,5606
0.4554632980920137,0.45193815,5606
0.48858766711932855,0.48476982,5606
0.521712036146643,0.5200358,5606
0.5548364051739578,0.55455524,5606
0.5879607742012727,0.589075,5606
0.6210851432285871,0.62359464,5606
0.654209512255902,0.65671426,5606
