x1,prediction,instance,x2,x3
-3.9600123704985855,-45.901787,4740,,
-3.8820461332492564,-44.242706,4740,,
-3.8040798959999274,-42.740536,4740,,
-3.7261136587505983,-41.251236,4740,,
-3.6481474215012692,-39.76194,4740,,
-3.5701811842519398,-38.294792,4740,,
-3.4922149470026107,-36.85111,4740,,
-3.414248709753281,-35.421425,4740,,
-3.336282472503952,-34.06093,4740,,
-3.258316235254623,-32.69004,4740,,
-3.180349998005294,-31.483852,4740,,
-3.102383760755965,-30.376774,4740,,
-3.024417523506636,-29.2697,4740,,
-2.946451286257307,-28.196346,4740,,
-2.868485049007978,-27.202156,4740,,
-2.790518811758649,-26.270445,4740,,
-2.7125525745093197,-25.4226,4740,,
-2.6345863372599907,-24.5792,4740,,
-2.5566201000106616,-23.747997,4740,,
-2.478653862761332,-22.916866,4740,,
-2.400687625512003,-22.085735,4740,,
-2.322721388262674,-21.454657,4740,,
-2.2447551510133446,-20.898928,4740,,
-2.1667889137640155,-20.34256,4740,,
-2.0888226765146864,-19.779064,4740,,
-2.0108564392653574,-19.24726,4740,,
-1.932890202016028,-18.747732,4740,,
-1.8549239647666989,-18.254274,4740,,
-1.7769577275173698,-17.937538,4740,,
-1.6989914902680407,-17.644665,4740,,
-1.6210252530187115,-17.351198,4740,,
-1.5430590157693824,-17.103367,4740,,
-1.4650927785200532,-16.862904,4740,,
-1.387126541270724,-16.624365,4740,,
-1.309160304021395,-16.450441,4740,,
-1.231194066772066,-16.277706,4740,,
-1.153227829522737,-16.097841,4740,,
-1.075261592273408,-15.950642,4740,,
-0.9972953550240783,-15.869806,4740,,
-0.9193291177747492,-15.808239,4740,,
-0.8413628805254201,-15.7476845,4740,,
-0.763396643276091,-15.700489,4740,,
-0.685430406026762,-15.684584,4740,,
-0.6074641687774329,-15.661997,4740,,
-0.5294979315281038,-15.639334,4740,,
-0.45153169427877476,-15.620865,4740,,
-0.3735654570294457,-15.606022,4740,,
-0.2955992197801166,-15.604416,4740,,
-0.21763298253078753,-15.602756,4740,,
-0.13966674528145792,-15.6026535,4740,,
-0.06170050803212885,-15.572786,4740,,
0.01626572921720023,-15.542921,4740,,
0.0942319664665293,-15.513056,4740,,
0.1721982037158584,-15.483191,4740,,
0.2501644409651874,-15.446097,4740,,
0.3281306782145165,-15.402462,4740,,
0.4060969154638456,-15.348211,4740,,
0.4840631527131747,-15.290104,4740,,
0.5620293899625038,-15.199481,4740,,
0.6399956272118333,-15.108858,4740,,
0.7179618644611625,-15.020429,4740,,
0.7959281017104916,-14.935341,4740,,
0.8738943389598206,-14.857935,4740,,
0.9518605762091497,-14.783242,4740,,
1.0298268134584787,-14.743922,4740,,
1.1077930507078078,-14.708856,4740,,
1.185759287957137,-14.654926,4740,,
1.263725525206466,-14.561464,4740,,
1.3416917624557951,-14.346526,4740,,
1.4196579997051242,-14.13159,4740,,
1.4976242369544532,-13.877559,4740,,
1.5755904742037823,-13.603542,4740,,
1.6535567114531113,-13.2951765,4740,,
1.7315229487024404,-12.925543,4740,,
1.8094891859517697,-12.464968,4740,,
1.8874554232010996,-12.007576,4740,,
1.9654216604504287,-11.550186,4740,,
2.0433878976997577,-11.092795,4740,,
2.1213541349490868,-10.46086,4740,,
2.199320372198416,-9.789922,4740,,
2.277286609447745,-9.123307,4740,,
2.355252846697074,-8.494306,4740,,
2.433219083946403,-7.865382,4740,,
2.511185321195732,-7.2276516,4740,,
2.589151558445061,-6.587522,4740,,
2.66711779569439,-5.9315515,4740,,
2.745084032943719,-4.934034,4740,,
2.823050270193048,-3.891518,4740,,
2.9010165074423773,-2.7869892,4740,,
2.9789827446917063,-1.6577873,4740,,
3.056948981941036,-0.60402584,4740,,
3.134915219190365,0.43162918,4740,,
3.212881456439694,1.4672842,4740,,
3.290847693689023,2.6027498,4740,,
3.368813930938352,3.872346,4740,,
3.446780168187681,5.226177,4740,,
3.52474640543701,6.6949816,4740,,
3.60271264268634,8.1536875,4740,,
3.680678879935669,9.79655,4740,,
3.758645117184997,11.488643,4740,,
-3.9600123704985855,-28.076618,5606,,
-3.8820461332492564,-26.417442,5606,,
-3.8040798959999274,-24.769962,5606,,
-3.7261136587505983,-23.123909,5606,,
-3.6481474215012692,-21.497217,5606,,
-3.5701811842519398,-19.90935,5606,,
