x1,prediction,instance,x2
-1.7438027823900784,0.96267414,4740,
-1.7100854336949576,0.9230447,4740,
-1.6763680849998368,0.8790779,4740,
-1.642650736304716,0.8329295,4740,
-1.6089333876095953,0.7825032,4740,
-1.5752160389144745,0.73066765,4740,
-1.5414986902193537,0.6785627,4740,
-1.507781341524233,0.6235594,4740,
-1.474063992829112,0.5672538,4740,
-1.4403466441339914,0.5127356,4740,
-1.4066292954388704,0.46262226,4740,
-1.3729119467437496,0.41285676,4740,
-1.3391945980486288,0.36483905,4740,
-1.305477249353508,0.31955585,4740,
-1.2717599006583873,0.274628,4740,
-1.2380425519632665,0.22922163,4740,
-1.2043252032681457,0.18712972,4740,
-1.170607854573025,0.1488777,4740,
-1.1368905058779042,0.11415471,4740,
-1.1031731571827834,0.07851212,4740,
-1.0694558084876626,0.04945838,4740,
-1.0357384597925416,0.031470355,4740,
-1.002021111097421,0.01736926,4740,
-0.9683037624023002,0.0032682605,4740,
-0.9345864137071794,-0.010852452,4740,
-0.9008690650120587,-0.025268812,4740,
-0.8671517163169379,-0.035229336,4740,
-0.8334343676218171,-0.03842036,4740,
-0.7997170189266962,-0.027756508,4740,
-0.7659996702315754,-0.01596034,4740,
-0.7322823215364547,-0.004164282,4740,
-0.6985649728413339,0.011513647,4740,
-0.6648476241462131,0.02985407,4740,
-0.6311302754510923,0.05305137,4740,
-0.5974129267559716,0.077473596,4740,
-0.5636955780608508,0.109712765,4740,
-0.52997822936573,0.14485069,4740,
-0.49626088067060925,0.178148,4740,
-0.4625435319754885,0.21292943,4740,
-0.4288261832803677,0.24998997,4740,
-0.3951088345852469,0.29133803,4740,
-0.36139148589012593,0.33586955,4740,
-0.32767413719500516,0.39074123,4740,
-0.2939567884998844,0.44382402,4740,
-0.2602394398047636,0.49885514,4740,
-0.22652209110964283,0.55459994,4740,
-0.19280474241452206,0.6121355,4740,
-0.15908739371940128,0.66967124,4740,
-0.1253700450242805,0.7263188,4740,
-0.09165269632915973,0.7861782,4740,
-0.05793534763403896,0.8494449,4740,
-0.024217998938918184,0.9075343,4740,
0.00949934975620259,0.96381253,4740,
0.043216698451323365,1.0228916,4740,
0.07693404714644414,1.0819709,4740,
0.11065139584156491,1.1410502,4740,
0.1443687445366859,1.2001295,4740,
0.17808609323180669,1.2592087,4740,
0.21180344192692746,1.3182881,4740,
0.24552079062204824,1.3773675,4740,
0.279238139317169,1.4347936,4740,
0.31295548801228956,1.4890435,4740,
0.34667283670741056,1.541622,4740,
0.3803901854025311,1.5829289,4740,
0.4141075340976521,1.6220179,4740,
0.4478248827927731,1.6604146,4740,
0.48154223148789366,1.6976953,4740,
0.5152595801830147,1.7324734,4740,
0.5489769288781352,1.7691814,4740,
0.5826942775732562,1.8035704,4740,
0.6164116262683768,1.8373951,4740,
0.6501289749634978,1.8691784,4740,
0.6838463236586183,1.8996248,4740,
0.7175636723537393,1.9096014,4740,
0.7512810210488599,1.9192132,4740,
0.7849983697439809,1.9288247,4740,
0.8187157184391014,1.9384363,4740,
0.8524330671342224,1.9480479,4740,
0.886150415829343,1.9538337,4740,
0.919867764524464,1.9540002,4740,
0.9535851132195845,1.9518926,4740,
0.9873024619147055,1.9438493,4740,
1.0210198106098265,1.9331416,4740,
1.054737159304947,1.9221009,4740,
1.088454508000068,1.9083571,4740,
1.1221718566951886,1.8785756,4740,
1.1558892053903096,1.8487939,4740,
1.1896065540854301,1.8187692,4740,
1.2233239027805511,1.7848303,4740,
1.2570412514756717,1.7508917,4740,
1.2907586001707927,1.7169529,4740,
1.3244759488659132,1.6818275,4740,
1.3581932975610342,1.6269122,4740,
1.3919106462561548,1.5713999,4740,
1.4256279949512758,1.5158792,4740,
1.4593453436463963,1.4603503,4740,
1.4930626923415173,1.4048214,4740,
1.5267800410366383,1.3492925,4740,
1.5604973897317589,1.2937639,4740,
1.59421473842688,1.2382348,4740,
-1.7438027823900784,0.86456114,5606,
-1.7100854336949576,0.8151752,5606,
-1.6763680849998368,0.7653961,5606,
-1.642650736304716,0.71004885,5606,
-1.6089333876095953,0.65436023,5606,
-1.5752160389144745,0.5988718,5606,
-1.5414986902193537,0.5427217,5606,
-1.507781341524233,0.48605087,5606,
-1.474063992829112,0.43098477,5606,
-1.4403466441339914,0.38124815,5606,
-1.4066292954388704,0.33039415,5606,
-1.3729119467437496,0.27944928,5606,
-1.3391945980486288,0.23111336,5606,
-1.305477249353508,0.1837932,5606,
-1.2717599006583873,0.13550897,5606,
-1.2380425519632665,0.087212,5606,
-1.2043252032681457,0.04640167,5606,
-1.170607854573025,0.011254329,5606,
-1.1368905058779042,-0.023719888,5606,
-1.1031731571827834,-0.05869421,5606,
-1.0694558084876626,-0.08732605,5606,
-1.0357384597925416,-0.10092087,5606,
-1.002021111097421,-0.11452365,5606,
-0.9683037624023002,-0.12822658,5606,
-0.9345864137071794,-0.14192954,5606,
-0.9008690650120587,-0.155416,5606,
-0.8671517163169379,-0.16057262,5606,
-0.8334343676218171,-0.15668173,5606,
-0.7997170189266962,-0.14751181,5606,
-0.7659996702315754,-0.13689935,5606,
-0.7322823215364547,-0.12753208,5606,
-0.6985649728413339,-0.11458476,5606,
-0.6648476241462131,-0.10112646,5606,
